"Pure IP US","Pure IP"
"Rackspace Germany","Rackspace"
"Rackspace.com Hong Kong","Rackspace.com"
"Raiffeisenbank Austria","Raiffeisenbank"
"Refinitiv Australia","Refinitiv"
"Refinitiv Poland","Refinitiv"
"Refinitiv Technology China","Refinitiv Technology"
"RETN (Hong Kong)","RETN"
"RETN GE","RETN"
"RETN KZ","RETN"
"RETN US","RETN"
"Ricoh Australia","Ricoh"
"Ricoh Deutschland","Ricoh"
"Ricoh USA","Ricoh"
"Robert Bosch (Australia)","Robert Bosch"
"Rockwool Belgium","Rockwool"
"Rogers Communications Canada","Rogers Communications"
"RTL Belgium","RTL"
"RTL Hrvatska","RTL"
"RTL Nederland","RTL"
"Saab Australia","Saab"
"Sabio France","Sabio"
"SailPoint Technologies India","SailPoint Technologies"
"Samsung Electronics America","Samsung Electronics"
"Samsung SDS America","Samsung SDS"
"Samsung SDS Europe","Samsung SDS"
"SAP America","SAP"
"SAP AUSTRALIA","SAP"
"SAP BRASIL","SAP"
"SAP China","SAP"
"SAP Labs Israel","SAP Labs"
"Satcom Direct Australia","Satcom Direct"
"Scania Polska","Scania"
"Schenker (Asia Pacific)","Schenker"
"Schenker Logistics Romania","Schenker Logistics"
"Schneider Electric (AUSTRALIA)","Schneider Electric"
"Schneider Electric India","Schneider Electric"
"Schroder Investment Management North America","Schroder Investment Management"
"SCSK Myanmar","SCSK"
"Securitas Argentina","Securitas"
"Securitas Polska","Securitas"
"Securitas Security Services USA","Securitas Security Services"
"Securitas Seguridad Espana","Securitas Seguridad"
"Securitas Sverige","Securitas"
"Sewan Belgium","Sewan"
"Sewan Nederland","Sewan"
